Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
371,Radgaon MIDC Ratnagiri,,5/24/2017,12/31/2018,Ratnagiri,Maharashtra,District Headquarters,Non Domestic,16.99491819,73.32439433,,
372,Rahul Nagar Bhopal,,4/14/2017,12/2/2018,Bhopal,Madhya Pradesh,District Headquarters,Domestic,23.09319908,77.52903704,,
373,Raibaug,,5/17/2016,11/23/2017,Belgaum,Karnataka,Gram Panchayat,Domestic,16.48955736,74.77307617,,Offline
374,Raj Nagar,,11/23/2016,12/31/2018,Ghaziabad,Uttar Pradesh,District Headquarters,Domestic,28.68252029,77.44597752,,
375,Raja Bazar Nanpara,,1/12/2018,12/31/2018,Bahraich,Uttar Pradesh,Other Municipal Area,Domestic,27.86565607,81.50277643,,
376,Rajaji Nagar,,8/12/2015,12/31/2018,Bengaluru Urban,Karnataka,State Capital,Domestic,12.99482993,77.55242138,,
377,Rajendra Gunj Raichur,,1/22/2018,12/31/2018,Raichur,Karnataka,District Headquarters,Domestic,16.2301925,77.36033372,,
378,Ram Bagh Agra,,12/28/2016,3/31/2017,Agra,Uttar Pradesh,District Headquarters,Domestic,27.20766685,78.03983,,
379,Ram Nagar,,6/12/2016,9/5/2016,Udaipur,Rajasthan,District Headquarters,Domestic,24.34994832,73.73935461,,Offline
380,Ramesh Nagar,,3/24/2016,12/31/2018,Bengaluru Urban,Karnataka,State Capital,Domestic,12.95871838,77.679547,,
381,Ramganj,,12/15/2015,6/12/2017,Jaipur,Rajasthan,State Capital,Non Domestic,26.91976711,75.83174848,,Offline
382,Ramuapur Mahmoodabad,,11/3/2017,8/18/2018,Sitapur,Uttar Pradesh,Other Municipal Area,Domestic,27.56123129,80.68095973,,
383,Rani Chennamma Nagar,,6/9/2016,6/6/2017,Belgaum,Karnataka,District Headquarters,Domestic,15.82732121,74.48969111,,Offline
384,Ranikhet road Gairsain ,,11/24/2016,5/15/2017,Chamoli,Uttarakhand,District Headquarters,Non Domestic,30.4842943,79.61679942,,Offline
385,Rano Pali,,12/16/2016,2/4/2017,Faizabad,Uttar Pradesh,Other Municipal Area,Domestic,26.78711011,82.18811625,,Offline
